as_of_date,loan_id,auto_direct_indirect,auto_new_used,original_balance,current_balance,current_rate,origination_date,maturity_date,original_term_months,orig_fico,orig_ltv,dti_back_end,state,year,days_past_due,product_type,box_id,in_box_flag,exclusion_reason
2025-10-19,12,AUTO_INDIRECT,AUTO_USED,104802,94607.38,3.89,2023-01-15,2028-04-15,63,576.0,95.11,33.68,TX,2019,5,AUTO_USED,OOB_UNMATCHED,False,NO_BOX_MATCH
2025-10-19,13,AUTO_DIRECT,AUTO_USED,101925,46460.88,6.14,2024-02-25,2029-03-25,61,742.0,105.45,66.61,TX,2025,0,AUTO_USED,OOB_UNMATCHED,False,NO_BOX_MATCH
2025-10-19,14,AUTO_INDIRECT,AUTO_NEW,9031,54783.03,16.44,2020-08-30,2022-04-30,20,771.0,24.0,10.09,TX,2006,0,AUTO_NEW,AUTO_NEW_750PLUS,True,None
2025-10-19,15,AUTO_DIRECT,AUTO_NEW,54911,146197.87,7.29,2025-03-01,2029-10-01,55,634.0,37.93,69.15,TX,2005,19,AUTO_NEW,OOB_UNMATCHED,False,NO_BOX_MATCH
2025-10-19,16,AUTO_INDIRECT,AUTO_USED,68230,112185.16,4.83,2020-05-29,2022-09-29,28,613.0,136.16,47.71,TX,2009,27,AUTO_USED,OOB_UNMATCHED,False,NO_BOX_MATCH
2025-10-19,17,AUTO_INDIRECT,AUTO_USED,81585,67200.85,16.14,2024-03-29,2030-07-29,76,521.0,60.58,37.67,TX,2019,0,AUTO_USED,OOB_UNMATCHED,False,NO_BOX_MATCH
2025-10-19,18,AUTO_INDIRECT,AUTO_USED,123668,148526.71,5.44,2023-10-15,2026-06-15,32,751.0,37.05,9.21,TX,2020,6,AUTO_USED,OOB_UNMATCHED,False,NO_BOX_MATCH
2025-10-19,19,AUTO_DIRECT,AUTO_USED,18276,26604.29,11.49,2019-12-23,2026-12-23,84,717.0,48.14,58.11,TX,2010,0,AUTO_USED,OOB_UNMATCHED,False,NO_BOX_MATCH
2025-10-19,20,AUTO_DIRECT,AUTO_NEW,99371,146945.09,7.72,2022-02-14,2024-06-14,28,537.0,14.7,5.63,TX,2010,0,AUTO_NEW,OOB_UNMATCHED,False,NO_BOX_MATCH
2025-10-19,21,AUTO_INDIRECT,AUTO_NEW,13114,67659.5,8.83,2022-10-18,2025-07-18,33,520.0,22.69,33.0,TX,2009,0,AUTO_NEW,OOB_UNMATCHED,False,NO_BOX_MATCH
2025-10-19,22,AUTO_DIRECT,AUTO_NEW,78945,75820.83,17.73,2019-09-22,2021-12-22,27,663.0,8.06,30.29,TX,2022,0,AUTO_NEW,AUTO_NEW_660_669,True,None
2025-10-19,23,AUTO_DIRECT,AUTO_NEW,130752,76040.73,4.22,2022-05-19,2028-06-19,73,555.0,58.64,33.81,TX,2009,46,AUTO_NEW,OOB_UNMATCHED,False,NO_BOX_MATCH
2025-10-19,24,AUTO_INDIRECT,AUTO_NEW,132186,70200.78,9.98,2019-04-07,2024-05-07,61,587.0,110.46,41.83,TX,2012,0,AUTO_NEW,OOB_UNMATCHED,False,NO_BOX_MATCH
2025-10-19,25,AUTO_INDIRECT,AUTO_USED,41966,143616.59,11.37,2022-11-30,2024-11-30,24,548.0,18.57,5.57,TX,2008,0,AUTO_USED,OOB_UNMATCHED,False,NO_BOX_MATCH
2025-10-19,26,AUTO_DIRECT,AUTO_NEW,70614,54563.75,1.3,2022-12-16,2027-11-16,59,516.0,31.09,30.32,TX,2005,0,AUTO_NEW,OOB_UNMATCHED,False,NO_BOX_MATCH
2025-10-19,27,AUTO_INDIRECT,AUTO_USED,33772,12431.94,7.03,2024-10-15,2027-04-15,30,716.0,126.47,9.04,TX,2007,2,AUTO_USED,OOB_UNMATCHED,False,NO_BOX_MATCH
2025-10-19,28,AUTO_INDIRECT,AUTO_USED,7940,80328.36,16.3,2020-06-04,2022-07-04,25,608.0,134.97,60.2,TX,2016,0,AUTO_USED,OOB_UNMATCHED,False,NO_BOX_MATCH
2025-10-19,29,AUTO_INDIRECT,AUTO_USED,146599,99772.23,13.83,2023-09-15,2028-03-15,54,542.0,73.99,33.68,TX,2005,0,AUTO_USED,OOB_UNMATCHED,False,NO_BOX_MATCH
2025-10-19,30,AUTO_DIRECT,AUTO_NEW,99086,114122.13,10.13,2021-08-21,2023-04-21,20,518.0,93.08,11.66,TX,2015,0,AUTO_NEW,OOB_UNMATCHED,False,NO_BOX_MATCH
2025-10-19,31,AUTO_INDIRECT,AUTO_USED,32307,81749.41,6.7,2024-10-28,2028-05-28,43,750.0,136.74,20.71,TX,2008,0,AUTO_USED,OOB_UNMATCHED,False,NO_BOX_MATCH
2025-10-19,32,AUTO_INDIRECT,AUTO_NEW,8381,11710.3,17.13,2023-01-31,2026-02-28,37,502.0,125.98,26.14,TX,2014,0,AUTO_NEW,OOB_UNMATCHED,False,NO_BOX_MATCH
2025-10-19,33,AUTO_INDIRECT,AUTO_NEW,124323,17668.71,5.62,2021-09-12,2026-11-12,62,600.0,81.63,42.37,TX,2018,0,AUTO_NEW,OOB_UNMATCHED,False,NO_BOX_MATCH
2025-10-19,34,AUTO_DIRECT,AUTO_USED,109049,62523.46,16.2,2023-11-04,2030-03-04,76,738.0,49.87,2.73,TX,2024,0,AUTO_USED,AUTO_USED_700_749,True,None
2025-10-19,35,AUTO_DIRECT,AUTO_USED,26238,63793.43,14.22,2024-08-19,2028-02-19,42,548.0,129.0,41.6,TX,2010,0,AUTO_USED,OOB_UNMATCHED,False,NO_BOX_MATCH
2025-10-19,36,AUTO_INDIRECT,AUTO_NEW,54341,6799.07,10.95,2023-02-01,2025-04-01,26,515.0,144.68,13.19,TX,2017,52,AUTO_NEW,OOB_UNMATCHED,False,NO_BOX_MATCH
2025-10-19,37,AUTO_DIRECT,AUTO_NEW,9859,74252.33,1.07,2023-10-02,2030-08-02,82,697.0,18.96,41.17,TX,2025,0,AUTO_NEW,OOB_UNMATCHED,False,NO_BOX_MATCH
2025-10-19,38,AUTO_DIRECT,AUTO_USED,132824,112901.32,5.0,2025-09-17,2027-04-17,19,524.0,117.53,67.25,TX,2011,0,AUTO_USED,OOB_UNMATCHED,False,NO_BOX_MATCH
2025-10-19,39,AUTO_DIRECT,AUTO_USED,57531,76357.1,13.17,2024-12-26,2028-08-26,44,515.0,37.92,61.25,TX,2007,0,AUTO_USED,OOB_UNMATCHED,False,NO_BOX_MATCH
2025-10-19,40,AUTO_DIRECT,AUTO_USED,83174,97274.0,14.71,2020-03-15,2026-05-15,74,623.0,99.48,48.62,TX,2024,0,AUTO_USED,OOB_UNMATCHED,False,NO_BOX_MATCH
2025-10-19,41,AUTO_DIRECT,AUTO_NEW,80104,132088.05,10.23,2025-05-25,2030-09-25,64,793.0,146.88,11.69,TX,2009,0,AUTO_NEW,OOB_UNMATCHED,False,NO_BOX_MATCH
2025-10-19,42,AUTO_INDIRECT,AUTO_USED,35970,38326.99,14.84,2024-09-28,2030-10-28,73,532.0,60.99,59.13,TX,2025,0,AUTO_USED,OOB_UNMATCHED,False,NO_BOX_MATCH
2025-10-19,43,AUTO_DIRECT,AUTO_USED,4757,99508.6,15.93,2022-08-23,2023-09-23,13,505.0,132.26,38.79,TX,2011,8,AUTO_USED,OOB_UNMATCHED,False,NO_BOX_MATCH
2025-10-19,44,AUTO_DIRECT,AUTO_USED,81079,38153.62,10.68,2019-01-01,2023-01-01,48,637.0,24.22,63.62,TX,2014,0,AUTO_USED,OOB_UNMATCHED,False,NO_BOX_MATCH
2025-10-19,45,AUTO_INDIRECT,AUTO_USED,100825,85123.34,3.01,2022-08-02,2025-04-02,32,605.0,28.44,65.62,TX,2019,0,AUTO_USED,OOB_UNMATCHED,False,NO_BOX_MATCH
2025-10-19,46,AUTO_INDIRECT,AUTO_USED,63927,105008.17,12.44,2022-08-04,2026-04-04,44,566.0,32.39,32.22,TX,2018,0,AUTO_USED,OOB_UNMATCHED,False,NO_BOX_MATCH
2025-10-19,47,AUTO_INDIRECT,AUTO_USED,94206,30216.16,7.68,2024-11-21,2026-07-21,20,689.0,32.57,63.57,TX,2013,29,AUTO_USED,OOB_UNMATCHED,False,NO_BOX_MATCH
2025-10-19,48,AUTO_DIRECT,AUTO_USED,66385,58142.4,14.55,2024-09-21,2030-01-21,64,515.0,83.14,53.98,TX,2005,0,AUTO_USED,OOB_UNMATCHED,False,NO_BOX_MATCH
2025-10-19,49,AUTO_INDIRECT,AUTO_NEW,9943,35516.0,11.48,2021-03-19,2027-01-19,70,749.0,142.2,15.0,TX,2021,0,AUTO_NEW,OOB_UNMATCHED,False,NO_BOX_MATCH
